"Name","End Time","Runtime","State","cutoff_distance","dropout","hidden_channels","learning_rate","weight_decay","Test Accuracy","Test F1","Test Loss","Test Sensitivity","Test Specificity","Train Accuracy","Train F1","Train Loss","Train Sensitivity","Train Specificity"
"sweepy-sweep-201","2025-01-21T21:06:40.000Z","464","finished","6.496104178516424","0.4","192","0.00024936098188872816","0.00004154049550647571","0.727","0.6717434869739479","0.5830699602762858","0.5466405740378343","0.9154737559645535","0.7568571428571429","0.7095563139931741","0.48335717086281094","0.564179104477612","0.9710407239819004"
"driven-sweep-200","2025-01-21T20:58:47.000Z","416","finished","6.1755718366510255","0.5","128","0.0005429722982333894","0.0009363074402944692","0.751","0.7595751528805922","0.592861533164978","0.7697325505544683","0.7314246762099523","0.8621428571428571","0.8677901082340047","0.3422529527119228","0.8594301221166892","0.865158371040724"
"lunar-sweep-199","2025-01-21T20:51:44.000Z","868","finished","4.675676480243379","0.6","320","0.00006528261780435253","0.00007409520273165604","0.7696666666666667","0.771267792121814","0.5012762993574142","0.7599478147423353","0.7798227675528289","0.8394285714285714","0.8435412026726058","0.3827046677470207","0.8222523744911805","0.8585218702865761"
"breezy-sweep-198","2025-01-21T20:37:11.000Z","682","finished","3.7134570612223303","0.6","128","0.00009856966027076264","0.0002838969022435916","0.7593333333333333","0.7599734042553191","0.5283959408601125","0.7455968688845401","0.7736877982276755","0.8058571428571428","0.8056628056628057","0.44962200096675325","0.7644504748982361","0.8518853695324283"
"generous-sweep-197","2025-01-21T20:25:42.000Z","1008","finished","3.516097125554295","0.4","320","0.000052500664134397774","0.000013870318045479284","0.7673333333333333","0.772490221642764","0.49899087101221085","0.7729941291585127","0.7614178595773687","0.8484285714285714","0.8559011272579112","0.37554318457841873","0.8550881953867029","0.841025641025641"
"hearty-sweep-196","2025-01-21T20:08:48.000Z","379","finished","7.090910726750806","0.4","192","0.0006572855722305364","0.0006437886915027844","0.7513333333333333","0.7707437000614629","0.5887211263179779","0.8180039138943248","0.6816632583503749","0.8588571428571429","0.8713876594636814","0.3786872870155743","0.9082767978290366","0.803921568627451"
"denim-sweep-195","2025-01-21T20:02:20.000Z","584","finished","4.683122770291009","0.4","256","0.0001801386134905635","0.00022380137786159012","0.756","0.7254313578394599","0.5064174483219782","0.6307893020221788","0.8868438991138378","0.8085714285714286","0.7861474624960102","0.40136315673589706","0.6683853459972863","0.9644042232277527"
"polished-sweep-194","2025-01-21T19:52:26.000Z","590","finished","3.3595042334741994","0.5","320","0.0003369928694089442","0.00003644757494136093","0.761","0.751473136915078","0.5203095376491547","0.7071102413568167","0.8173142467620995","0.8601428571428571","0.8559234731420162","0.3245970958045551","0.7891451831750339","0.9390648567119155"
"pretty-sweep-193","2025-01-21T19:42:30.000Z","588","finished","5.153425215181498","0.8","256","0.00009364672753145276","0.00004214938801218403","0.7676666666666667","0.7677440853048983","0.512470985452334","0.7514677103718199","0.7845944103612815","0.8191428571428572","0.8224403927068724","0.4199578453387533","0.7956580732700136","0.8452488687782805"
"sweet-sweep-192","2025-01-21T19:32:36.000Z","46","finished","3.371789825895517","0.6","256","0.000856654659235393","0.00002019898309372468","0.511","0.6763732627399074","0.6930564343929291","1","0","0.5264285714285715","0.6897519887693028","0.6917787151677268","1","0"
"swift-sweep-191","2025-01-21T19:31:46.000Z","375","finished","7.538179610135445","0.5","192","0.0006461236151728323","0.0007456342349825253","0.7443333333333333","0.7222021006881565","0.5522372474273046","0.6503587736464449","0.8425357873210634","0.858","0.8506161707243763","0.32954588692103115","0.76797829036635","0.9580693815987934"
"brisk-sweep-190","2025-01-21T19:25:24.000Z","291","finished","3.3433892138769483","0.8","128","0.0008000041778515654","0.00005024217644765039","0.6476666666666666","0.5917342603321746","0.6506253629922867","0.49967384213959554","0.8023176550783913","0.6904285714285714","0.6381699782935382","0.6266320816108158","0.5185888738127544","0.881447963800905"
"playful-sweep-189","2025-01-21T19:20:28.000Z","61","finished","8.339546836867825","0.6","320","0.0009734875132990884","0.0007064549497826097","0.511","0.6763732627399074","0.6932282646497091","1","0","0.5264285714285715","0.6897519887693028","0.691660687327385","1","0"
"dandy-sweep-188","2025-01-21T19:19:17.000Z","610","finished","7.587417650051298","0.4","192","0.00009921146647533877","0.00048043796012430207","0.5073333333333333","0.6681634485855411","0.6614626944065094","0.9706457925636007","0.023176550783912748","0.5388571428571428","0.6923370186808997","0.5733747695173536","0.98561736770692","0.042232277526395176"
"dulcet-sweep-187","2025-01-21T19:08:57.000Z","642","finished","5.207551397755195","0.6","256","0.00006725748156852777","0.0006993924823203967","0.765","0.7804422298349424","0.5375240296125412","0.817351598173516","0.7102931152010906","0.8081428571428572","0.8270889661387923","0.4575208915131433","0.8716417910447761","0.7375565610859729"
"effortless-sweep-186","2025-01-21T18:58:08.000Z","521","finished","3.230438629712423","0.6","128","0.00016947546635393343","0.00001581220201908616","0.7583333333333333","0.761748274728886","0.530169111986955","0.7560339204174821","0.7607361963190185","0.8202857142857143","0.8249373782354579","0.4193981885910034","0.8043419267299864","0.8380090497737557"
"winter-sweep-185","2025-01-21T18:49:21.000Z","312","finished","4.341746744967383","0.6","128","0.000490202549175451","0.000027141122446900567","0.7263333333333334","0.7565965016305959","0.6143381496270498","0.83235485975212","0.6155419222903885","0.7975714285714286","0.8210180623973727","0.4976057325090681","0.8819538670284939","0.7037707390648568"
"decent-sweep-184","2025-01-21T18:44:00.000Z","984","finished","7.715569524269573","0.8","256","0.00005081674202396316","0.0008788634494448598","0.76","0.7321428571428571","0.4955001547932625","0.6418786692759295","0.8834355828220859","0.7945714285714286","0.770434227330779","0.42229293286800385","0.6548168249660787","0.9499245852187028"
"northern-sweep-183","2025-01-21T18:27:27.000Z","488","finished","8.892807008201187","0.8","320","0.00028457486177931127","0.0004466157492393112","0.7233333333333334","0.6636952998379254","0.5576807782053947","0.5342465753424658","0.9209270620313565","0.7734285714285715","0.7354903268845897","0.4683109489934785","0.5983717774762551","0.9680241327300151"
"misty-sweep-182","2025-01-21T18:19:09.000Z","749","finished","7.923431586097803","0.6","256","0.00008076235777261967","0.00019916841710734012","0.7696666666666667","0.7834534628643058","0.5319121778011322","0.8153946510110893","0.721881390593047","0.8314285714285714","0.8461137193531559","0.411135417010103","0.8803256445047489","0.7770739064856712"
"peach-sweep-181","2025-01-21T18:06:31.000Z","652","finished","8.469972635777093","0.5","320","0.00010217190276548783","0.00013877045075943285","0.7266666666666667","0.768361581920904","0.6027601609627405","0.8871493803000652","0.5589638718473074","0.7978571428571428","0.8303153855378342","0.4844951182603836","0.9394843962008141","0.6404223227752639"
"volcanic-sweep-180","2025-01-21T17:55:30.000Z","863","finished","3.997275322856108","0.4","128","0.00006274925492404425","0.000012531352284748162","0.733","0.7574931880108992","0.5748602648576101","0.8160469667318982","0.6462167689161554","0.8062857142857143","0.8238503507404521","0.48016100163970676","0.8605156037991859","0.7460030165912519"
"cool-sweep-179","2025-01-21T17:40:59.000Z","49","finished","5.895374434601011","0.5","256","0.0006395456074787322","0.000020231750470698264","0.511","0.6763732627399074","0.6928397764762243","1","0","0.5264285714285715","0.6897519887693028","0.6912638247013092","1","0"
"twilight-sweep-178","2025-01-21T17:40:03.000Z","577","finished","6.776601031505395","0.6","320","0.0002796099271115888","0.00005627856662590114","0.761","0.732562476687803","0.5129087517658869","0.6405740378343118","0.8868438991138378","0.821","0.8037588097102584","0.3827189930847713","0.6963364993215739","0.9595776772247361"
"snowy-sweep-177","2025-01-21T17:30:17.000Z","955","finished","3.1648531731965495","0.8","320","0.00005685256948219968","0.0002866194373825166","0.7366666666666667","0.6947449768160742","0.531172181169192","0.5864318330071755","0.8936605316973415","0.7875714285714286","0.7560295324036095","0.4350605479308537","0.6252374491180461","0.9680241327300151"
"honest-sweep-176","2025-01-21T17:14:13.000Z","560","finished","8.722741917191016","0.6","320","0.0002943741979310848","0.0000960073800897537","0.7506666666666667","0.7777777777777778","0.5838157882293066","0.8538812785388128","0.6428084526244036","0.8152857142857143","0.837501570943823","0.4433264753648213","0.9042062415196743","0.7164404223227753"
"vivid-sweep-175","2025-01-21T17:04:47.000Z","51","finished","3.3106624992801974","0.8","192","0.0006004698471954948","0.00018064513426672377","0.511","0.6763732627399074","0.692113051811854","1","0","0.5264285714285715","0.6897519887693028","0.6912807034594672","1","0"
"smart-sweep-174","2025-01-21T17:03:50.000Z","578","finished","7.826523974296328","0.5","320","0.0003535980878235607","0.0005908326731241207","0.7726666666666666","0.7763934426229508","0.5269175047675768","0.7723418134377038","0.7730061349693251","0.8558571428571429","0.8583462024427909","0.34032818568604334","0.8295793758480325","0.8850678733031674"
"effortless-sweep-173","2025-01-21T16:54:03.000Z","340","finished","6.476086443275896","0.6","320","0.0006565916235222345","0.0005473524619083922","0.5016666666666667","0.6677039342076017","0.6655260374148687","0.9797782126549249","0.002044989775051125","0.5235714285714286","0.6824111989334349","0.6631260854857308","0.9723202170963365","0.02473604826546003"
"winter-sweep-172","2025-01-21T16:48:17.000Z","343","finished","4.547553361342114","0.4","128","0.0008696012643291489","0.0003940283174330757","0.7536666666666667","0.7584177835894083","0.5878118847807249","0.7566862361382909","0.7505112474437627","0.8497142857142858","0.8554150632215503","0.3670624430690493","0.8445047489823609","0.8555052790346908"
"skilled-sweep-171","2025-01-21T16:42:27.000Z","465","finished","6.024587459900491","0.5","192","0.00035674917419232886","0.00023681549988715576","0.769","0.7730101539469374","0.5122974365949631","0.7697325505544683","0.7682344921608726","0.8415714285714285","0.8527028821888697","0.3977308262671743","0.8710990502035278","0.8087481146304676"
"dulcet-sweep-170","2025-01-21T16:34:33.000Z","555","finished","3.2372530392507706","0.6","192","0.00018269962959402647","0.00017283479899815797","0.7653333333333333","0.7656458055925432","0.5064464509487152","0.7501630789302022","0.7811860940695297","0.841","0.8456952724247886","0.3864110878535679","0.8276797829036635","0.8558069381598793"
