"Name","Sweep","End Time","Runtime","State","cutoff_distance","dropout","hidden_channels","learning_rate","weight_decay","Test Accuracy","Test F1","Test Loss","Test Sensitivity","Test Specificity","Train Accuracy","Train F1","Train Loss","Train Sensitivity","Train Specificity"
"decent-sweep-6","awtki903","2025-02-04T14:47:28.000Z","54","running","8.314042222502446","0.4","320","0.00005738324551099726","0.00021777005417091664","0.7353333333333333","0.7391590013140604","0.5708394646644592","0.7338551859099804","0.7368779822767553","0.7645714285714286","0.7690582959641256","0.5514990623508181","0.744640434192673","0.7867269984917044"
"pretty-sweep-5","awtki903","2025-02-04T14:46:24.000Z","3529","finished","7.787302558542693","0.5","256","0.0000021351439560814413","0.0006724648538594812","0.777","0.7789890981169475","0.48656060298283893","0.7690802348336595","0.7852760736196319","0.8432857142857143","0.8455147162371497","0.36685878677027567","0.8146540027137043","0.8751131221719457"
"smooth-sweep-4","awtki903","2025-02-04T13:47:30.000Z","179","finished","11.701680581050663","0.4","320","0.0002708160565930339","0.00003139849843916748","0.7503333333333333","0.7947382844614963","0.6819837987422943","0.9458577951728636","0.5460122699386503","0.7621428571428571","0.8133198789101918","0.5181864170091492","0.9842605156037992","0.5152337858220211"
"devoted-sweep-3","awtki903","2025-02-04T13:44:25.000Z","133","finished","7.82673607708502","0.5","384","0.00012648511719338314","0.000032242540066712584","0.7726666666666666","0.7459016393442623","0.5881114850441614","0.6529680365296804","0.8977505112474438","0.8284285714285714","0.8071302392805524","0.3762251175940037","0.6819538670284939","0.9912518853695325"
"lucky-sweep-2","awtki903","2025-02-04T13:42:04.000Z","238","finished","10.036847944326592","0.4","320","0.00003829469520534615","0.000013354594360228258","0.519","0.6782608695652174","0.8147928764422735","0.9921722113502937","0.024539877300613498","0.5288571428571428","0.6901540774145059","0.6624553608042854","0.9967435549525102","0.008748114630467572"
"dainty-sweep-1","awtki903","2025-02-04T13:37:58.000Z","1067","finished","6.20438933174723","0.5","320","0.000007208924101794389","0.0000477543628325009","0.7586666666666667","0.7515442690459849","0.5216959764560064","0.7142857142857143","0.8050443081117927","0.8322857142857143","0.8344613649182178","0.39773137867450714","0.8029850746268656","0.8648567119155355"
"pious-sweep-126","f2b4l8u4","2025-02-04T02:58:35.000Z","102","finished","9.143708491995849","0.5","256","0.00043206132713556855","0.00006245516292492058","0.7773333333333333","0.7860345932094811","0.5468415394425392","0.8003913894324853","0.7532379004771643","0.8948571428571429","0.8973786949247072","0.264956498252494","0.8732700135685211","0.9188536953242835"
"peach-sweep-125","f2b4l8u4","2025-02-04T02:56:46.000Z","70","finished","5.105536155587952","0.6","256","0.0002793818522197736","0.00015146322915149168","0.6713333333333333","0.5686789151356081","0.717051088809967","0.42400521852576645","0.9297886843899114","0.7537142857142857","0.6990223463687151","0.5062593966722488","0.5432835820895522","0.98763197586727"
"dazzling-sweep-124","f2b4l8u4","2025-02-04T02:55:30.000Z","686","finished","3.7666434412949807","0.8","128","0.000033489281028672424","0.000014769642117240014","0.7103333333333334","0.6547477155343663","0.5765606760978699","0.5375081539465101","0.89093387866394","0.7817142857142857","0.7549711353431687","0.4660630790250642","0.6388059701492538","0.9405731523378582"
"devout-sweep-123","f2b4l8u4","2025-02-04T02:43:58.000Z","529","finished","4.359306754289978","0.4","320","0.00001701504511261224","0.0009432125752847092","0.7363333333333333","0.7013967534918837","0.5524624163905779","0.6060013046314416","0.8725289706884799","0.8104285714285714","0.7965659972405335","0.4372257132615362","0.7050203527815468","0.9276018099547512"
"lively-sweep-122","f2b4l8u4","2025-02-04T02:35:01.000Z","228","finished","5.999394250926547","0.6","256","0.000050446683249973334","0.0005077364572486673","0.781","0.7853642600457367","0.5261569495002428","0.7840834964122635","0.7777777777777778","0.8657142857142858","0.8702732542092189","0.3364727199077606","0.8556309362279512","0.8769230769230769"
"dark-sweep-121","f2b4l8u4","2025-02-04T02:31:05.000Z","146","finished","9.423253319962487","0.6","256","0.00017749187485196873","0.00006059479325099176","0.6656666666666666","0.5212410501193318","1.2921111981074016","0.3561643835616438","0.989093387866394","0.6454285714285715","0.4928483857785043","1.248652070760727","0.32727272727272727","0.9990950226244344"
"noble-sweep-120","f2b4l8u4","2025-02-04T02:28:33.000Z","102","finished","3.6887346362497344","0.6","256","0.0003211200670066542","0.00003468899814525485","0.5096666666666667","0.6752042393464341","1.2846721013387044","0.9973907371167645","0","0.5265714285714286","0.6898165481093224","1.1534537864582879","1","0.00030165912518853697"
"brisk-sweep-119","f2b4l8u4","2025-02-04T02:26:43.000Z","182","finished","7.571442245417691","0.4","128","0.00006840146665849835","0.00005515552252615572","0.7656666666666667","0.7652754590984975","0.520086961487929","0.7475538160469667","0.7845944103612815","0.8425714285714285","0.8448324415657561","0.3633453728897231","0.8141112618724559","0.8742081447963801"
"rural-sweep-118","f2b4l8u4","2025-02-04T02:23:32.000Z","330","finished","9.767835108367144","0.6","320","0.00002403940160274271","0.00012020755807649244","0.7823333333333333","0.7650233897085282","0.47039995590845746","0.6934116112198304","0.8752556237218814","0.8141428571428572","0.7989491577808685","0.38948890353952137","0.7014925373134329","0.9393665158371041"
"sage-sweep-117","f2b4l8u4","2025-02-04T02:17:54.000Z","111","finished","8.66553113335286","0.8","256","0.00025810915896154046","0.0002685936309822297","0.511","0.6763732627399074","5.0003611246744795","1","0","0.5264285714285715","0.6897519887693028","4.573640525341034","1","0"
"glamorous-sweep-116","f2b4l8u4","2025-02-04T02:15:54.000Z","268","finished","6.729699499834486","0.8","192","0.0000496492035587411","0.000035981832202961795","0.7596666666666667","0.7809176542084473","0.5499264250199","0.8382257012393999","0.6775732788002726","0.8228571428571428","0.8437106125535669","0.4174580233437674","0.9082767978290366","0.7279034690799396"
"deep-sweep-115","f2b4l8u4","2025-02-04T02:11:18.000Z","819","finished","8.661594667896042","0.4","320","0.000007972806682726464","0.00003824092972293843","0.7856666666666666","0.7744650999649246","0.47494016339381534","0.7201565557729941","0.8541240627130198","0.8244285714285714","0.818060695780903","0.3794792911836079","0.7497964721845319","0.9073906485671192"
"skilled-sweep-114","f2b4l8u4","2025-02-04T01:57:35.000Z","145","finished","9.924266801299517","0.6","256","0.000195559668650994","0.00016830300948968952","0.7873333333333333","0.7748764996471419","0.49179484446843463","0.7162426614481409","0.8616223585548739","0.8515714285714285","0.8425041685614674","0.33026870659419466","0.7541383989145183","0.9598793363499246"
"ruby-sweep-113","f2b4l8u4","2025-02-04T01:55:01.000Z","191","finished","5.267541355584827","0.4","256","0.00005091253407906193","0.0007795362205896897","0.738","0.7053973013493253","0.5498612796266874","0.6138290932811481","0.8677573278800272","0.8237142857142857","0.8098613251155624","0.3955079700265612","0.7131614654002714","0.9466063348416289"
"dauntless-sweep-112","f2b4l8u4","2025-02-04T01:51:41.000Z","130","finished","9.981946001411998","0.5","320","0.00014175306602664465","0.00010777090850545964","0.516","0.677762982689747","0.9328889846801758","0.9960861056751468","0.014314928425357873","0.5271428571428571","0.6899587860621956","0.7419407069683075","0.9994572591587517","0.0021116138763197585"
"fast-sweep-111","f2b4l8u4","2025-02-04T01:49:23.000Z","84","finished","4.532756308409603","0.6","256","0.00027180054526979003","0.00003976436674052464","0.511","0.6763732627399074","1.7131479879220326","1","0","0.5264285714285715","0.6897519887693028","1.5587289759090968","1","0"
"sage-sweep-110","f2b4l8u4","2025-02-04T01:47:50.000Z","192","finished","6.22379888583931","0.6","256","0.00006166432886782728","0.00001400638937433731","0.755","0.7708138447146866","0.549274280667305","0.8062622309197651","0.7014314928425358","0.8655714285714285","0.8762656147271531","0.35428816292967114","0.9042062415196743","0.8226244343891402"
"icy-sweep-109","f2b4l8u4","2025-02-04T01:44:29.000Z","166","finished","8.703969643409822","0.5","128","0.00009631512442211054","0.000044027070188667335","0.6783333333333333","0.55713630105553","0.9617863744497299","0.395955642530985","0.9734151329243353","0.6584285714285715","0.5207456404088996","0.9457324381385531","0.3525101763907734","0.9984917043740573"
